stem,year,cls,w_pct,h_pct,area_pct,n_milco,n_nombo,background
0005_2015,2015,MILCO,5.2885,2.7644,0.1462,4,1,0
0005_2015,2015,MILCO,4.9279,2.2837,0.11254,4,1,0
0005_2015,2015,MILCO,5.8894,3.6058,0.21236,4,1,0
0005_2015,2015,NOMBO,4.8077,6.851,0.32937,4,1,0
0005_2015,2015,MILCO,2.1635,1.9231,0.04161,4,1,0
0005_2017,2017,MILCO,4.6875,2.8846,0.13522,1,0,0
0005_2018,2018,,,,,0,0,1
0005_2021,2021,,,,,0,0,1
0006_2010,2010,,,,,0,0,1
0006_2015,2015,MILCO,1.4648,1.6602,0.02432,1,2,0
0006_2015,2015,NOMBO,3.418,2.4414,0.08345,1,2,0
0006_2015,2015,NOMBO,4.6875,1.8555,0.08698,1,2,0
0006_2017,2017,MILCO,3.2227,3.418,0.11015,1,0,0
0006_2018,2018,,,,,0,0,1
0006_2021,2021,,,,,0,0,1
0007_2010,2010,,,,,0,0,1
0007_2015,2015,MILCO,2.832,1.8555,0.05255,7,0,0
0007_2015,2015,MILCO,8.9844,2.5391,0.22812,7,0,0
0007_2015,2015,MILCO,5.5664,2.7344,0.15221,7,0,0
0007_2015,2015,MILCO,4.7852,2.5391,0.1215,7,0,0
0007_2015,2015,MILCO,2.6367,2.1484,0.05665,7,0,0
0007_2015,2015,MILCO,2.3438,3.0273,0.07095,7,0,0
0007_2015,2015,MILCO,1.8555,1.5625,0.02899,7,0,0
0007_2017,2017,MILCO,3.2452,3.3654,0.10921,1,0,0
0007_2018,2018,,,,,0,0,1
0007_2021,2021,MILCO,6.851,2.0433,0.13998,2,0,0
0007_2021,2021,MILCO,2.524,2.1635,0.05461,2,0,0
0008_2010,2010,,,,,0,0,1
0008_2015,2015,MILCO,2.8846,1.8029,0.05201,7,0,0
0008_2015,2015,MILCO,9.0144,2.524,0.22753,7,0,0
0008_2015,2015,MILCO,5.5288,2.7644,0.15284,7,0,0
0008_2015,2015,MILCO,4.8077,2.524,0.12135,7,0,0
0008_2015,2015,MILCO,2.6442,2.1635,0.05721,7,0,0
0008_2015,2015,MILCO,2.4038,3.0048,0.07223,7,0,0
0008_2015,2015,MILCO,1.8029,1.5625,0.02817,7,0,0
0008_2017,2017,MILCO,4.4922,2.1484,0.09651,1,0,0
0008_2018,2018,,,,,0,0,1
0008_2021,2021,MILCO,3.4856,3.9663,0.13825,3,0,0
0008_2021,2021,MILCO,3.9663,4.0865,0.16209,3,0,0
0008_2021,2021,MILCO,3.9663,4.9279,0.19546,3,0,0
0009_2010,2010,,,,,0,0,1
0009_2015,2015,NOMBO,4.9805,2.7344,0.13618,3,3,0
0009_2015,2015,MILCO,1.3672,2.0508,0.02804,3,3,0
0009_2015,2015,NOMBO,4.9805,2.9297,0.14591,3,3,0
0009_2015,2015,MILCO,4.7852,1.3672,0.06542,3,3,0
0009_2015,2015,NOMBO,3.5156,2.3438,0.0824,3,3,0
0009_2015,2015,MILCO,2.5391,2.4414,0.06199,3,3,0
0009_2017,2017,MILCO,4.4922,2.1484,0.09651,3,0,0
0009_2017,2017,MILCO,3.125,1.4648,0.04578,3,0,0
0009_2017,2017,MILCO,4.6875,1.9531,0.09155,3,0,0
0009_2018,2018,,,,,0,0,1
0009_2021,2021,MILCO,3.9663,3.9663,0.15732,3,0,0
0009_2021,2021,MILCO,3.4856,4.5673,0.1592,3,0,0
0009_2021,2021,MILCO,4.5673,3.125,0.14273,3,0,0
0010_2010,2010,,,,,0,0,1
0010_2015,2015,NOMBO,4.9279,2.7644,0.13623,3,3,0
0010_2015,2015,MILCO,1.3221,2.0433,0.02701,3,3,0
0010_2015,2015,NOMBO,4.9279,2.8846,0.14215,3,3,0
0010_2015,2015,MILCO,4.8077,1.3221,0.06356,3,3,0
0010_2015,2015,NOMBO,3.4856,2.4038,0.08379,3,3,0
0010_2015,2015,MILCO,2.524,2.4038,0.06067,3,3,0
0010_2017,2017,MILCO,4.4471,2.1635,0.09621,3,0,0
0010_2017,2017,MILCO,3.125,1.4423,0.04507,3,0,0
0010_2017,2017,MILCO,4.6875,1.9231,0.09014,3,0,0
0010_2018,2018,,,,,0,0,1
0010_2021,2021,MILCO,4.9279,3.6058,0.17769,3,0,0
0010_2021,2021,MILCO,4.6875,2.2837,0.10705,3,0,0
0010_2021,2021,MILCO,5.5288,3.3654,0.18607,3,0,0
0011_2010,2010,,,,,0,0,1
0011_2015,2015,MILCO,7.9102,2.5391,0.20084,2,0,0
0011_2015,2015,MILCO,4.9805,3.0273,0.15078,2,0,0
0011_2017,2017,,,,,0,0,1
0011_2018,2018,,,,,0,0,1
0011_2021,2021,MILCO,3.9663,2.6442,0.10488,3,0,0
0011_2021,2021,MILCO,6.851,2.2837,0.15645,3,0,0
0011_2021,2021,MILCO,3.9663,2.1635,0.08581,3,0,0
0012_2010,2010,,,,,0,0,1
0012_2015,2015,MILCO,7.9327,2.524,0.20022,2,0,0
0012_2015,2015,MILCO,4.9279,3.0048,0.14807,2,0,0
0012_2017,2017,,,,,0,0,1
0012_2018,2018,,,,,0,0,1
0012_2021,2021,MILCO,6.4904,2.8846,0.18722,2,0,0
0012_2021,2021,MILCO,3.9663,3.125,0.12395,2,0,0
0013_2010,2010,,,,,0,0,1
0013_2015,2015,MILCO,4.2969,3.0273,0.13008,1,4,0
0013_2015,2015,NOMBO,4.0039,6.25,0.25024,1,4,0
0013_2015,2015,NOMBO,10.6445,4.2969,0.45738,1,4,0
0013_2015,2015,NOMBO,1.8555,1.7578,0.03262,1,4,0
0013_2015,2015,NOMBO,5.0781,4.1016,0.20828,1,4,0
0013_2017,2017,MILCO,5.6641,2.1484,0.12169,2,0,0
0013_2017,2017,MILCO,2.7344,2.5391,0.06943,2,0,0
0013_2018,2018,,,,,0,0,1
0013_2021,2021,MILCO,4.6875,2.0433,0.09578,1,0,0
0014_2010,2010,,,,,0,0,1
0014_2015,2015,MILCO,4.3269,3.0048,0.13002,1,4,0
0014_2015,2015,NOMBO,3.9663,6.25,0.2479,1,4,0
0014_2015,2015,NOMBO,10.6971,4.3269,0.46286,1,4,0
0014_2015,2015,NOMBO,1.8029,1.8029,0.0325,1,4,0
0014_2015,2015,NOMBO,5.0481,4.0865,0.20629,1,4,0
0014_2017,2017,MILCO,5.649,2.1635,0.12221,2,0,0
0014_2017,2017,MILCO,2.7644,2.524,0.06978,2,0,0
0014_2018,2018,,,,,0,0,1
0014_2021,2021,,,,,0,0,1
0015_2010,2010,,,,,0,0,1
0015_2015,2015,NOMBO,4.9805,3.2227,0.1605,2,1,0
0015_2015,2015,MILCO,6.0547,2.3438,0.14191,2,1,0
0015_2015,2015,MILCO,4.7852,2.5391,0.1215,2,1,0
0015_2017,2017,,,,,0,0,1
0015_2018,2018,,,,,0,0,1
0015_2021,2021,MILCO,4.6875,3.4856,0.16339,1,0,0
0016_2010,2010,,,,,0,0,1
0016_2015,2015,NOMBO,4.9279,3.2452,0.15992,2,1,0
0016_2015,2015,MILCO,6.0096,2.4038,0.14446,2,1,0
0016_2015,2015,MILCO,4.8077,2.524,0.12135,2,1,0
0016_2017,2017,,,,,0,0,1
0016_2018,2018,,,,,0,0,1
0016_2021,2021,MILCO,4.4471,2.1635,0.09621,2,0,0
0016_2021,2021,MILCO,5.8894,3.0048,0.17697,2,0,0
0017_2010,2010,,,,,0,0,1
0017_2015,2015,NOMBO,3.8086,1.4648,0.05579,1,2,0
0017_2015,2015,NOMBO,4.9805,6.1523,0.30642,1,2,0
0017_2015,2015,MILCO,5.4688,4.7852,0.26169,1,2,0
0017_2017,2017,,,,,0,0,1
0017_2018,2018,,,,,0,0,1
0017_2021,2021,,,,,0,0,1
0018_2010,2010,,,,,0,0,1
0018_2015,2015,NOMBO,3.8462,1.4423,0.05547,1,2,0
0018_2015,2015,NOMBO,4.9279,6.1298,0.30207,1,2,0
0018_2015,2015,MILCO,5.5288,4.8077,0.26581,1,2,0
0018_2017,2017,,,,,0,0,1
0018_2018,2018,,,,,0,0,1
0018_2021,2021,MILCO,9.2548,2.524,0.23359,1,0,0
0019_2010,2010,,,,,0,0,1
0019_2015,2015,MILCO,8.1055,2.2461,0.18206,1,1,0
0019_2015,2015,NOMBO,4.1016,3.418,0.14019,1,1,0
0019_2017,2017,,,,,0,0,1
0019_2018,2018,,,,,0,0,1
0019_2021,2021,MILCO,3.125,3.4856,0.10892,1,0,0
0020_2010,2010,,,,,0,0,1
0020_2015,2015,MILCO,8.0529,2.2837,0.1839,1,1,0
0020_2015,2015,NOMBO,4.0865,3.3654,0.13753,1,1,0
0020_2017,2017,,,,,0,0,1
0020_2018,2018,,,,,0,0,1
0020_2021,2021,MILCO,4.9279,3.3654,0.16584,2,0,0
0020_2021,2021,MILCO,3.4856,2.4038,0.08379,2,0,0
0021_2010,2010,,,,,0,0,1
0021_2015,2015,MILCO,5.4688,4.7852,0.26169,4,0,0
0021_2015,2015,MILCO,5.3711,2.9297,0.15736,4,0,0
0021_2015,2015,MILCO,6.25,2.7344,0.1709,4,0,0
0021_2015,2015,MILCO,3.9062,2.3438,0.09155,4,0,0
0021_2017,2017,,,,,0,0,1
0021_2018,2018,MILCO,5.1758,3.0273,0.15669,1,0,0
0021_2021,2021,MILCO,6.851,4.3269,0.29644,1,0,0
0022_2010,2010,,,,,0,0,1
0022_2015,2015,MILCO,2.7344,3.2227,0.08812,2,0,0
0022_2015,2015,MILCO,4.3945,1.1719,0.0515,2,0,0
0022_2017,2017,,,,,0,0,1
0022_2018,2018,MILCO,5.1683,3.0048,0.1553,1,0,0
0022_2021,2021,,,,,0,0,1
0023_2010,2010,,,,,0,0,1
0023_2015,2015,MILCO,7.9102,2.3438,0.18539,1,0,0
0023_2017,2017,,,,,0,0,1
0023_2018,2018,MILCO,5.1758,3.0273,0.15669,1,0,0
0023_2021,2021,MILCO,4.4471,3.4856,0.15501,1,0,0
0024_2010,2010,,,,,0,0,1
0024_2015,2015,MILCO,7.9327,2.4038,0.19069,1,0,0
0024_2017,2017,,,,,0,0,1
0024_2018,2018,,,,,0,0,1
0024_2021,2021,MILCO,3.726,2.4038,0.08957,1,0,0
0025_2010,2010,,,,,0,0,1
0025_2015,2015,NOMBO,6.0096,3.0048,0.18058,1,2,0
0025_2015,2015,MILCO,4.0865,1.8029,0.07368,1,2,0
0025_2015,2015,NOMBO,9.0144,3.0048,0.27087,1,2,0
0025_2017,2017,,,,,0,0,1
0025_2018,2018,,,,,0,0,1
0025_2021,2021,,,,,0,0,1
0026_2010,2010,,,,,0,0,1
0026_2015,2015,NOMBO,5.957,3.0273,0.18034,1,2,0
0026_2015,2015,MILCO,4.1016,1.8555,0.0761,1,2,0
0026_2015,2015,NOMBO,8.9844,3.0273,0.27199,1,2,0
0026_2017,2017,,,,,0,0,1
0026_2018,2018,,,,,0,0,1
0026_2021,2021,MILCO,3.125,2.8846,0.09014,1,0,0
0027_2010,2010,,,,,0,0,1
0027_2015,2015,NOMBO,7.4519,2.524,0.18809,1,2,0
0027_2015,2015,NOMBO,10.8173,4.2067,0.45506,1,2,0
0027_2015,2015,MILCO,6.0096,3.2452,0.19502,1,2,0
0027_2017,2017,,,,,0,0,1
0027_2018,2018,,,,,0,0,1
0027_2021,2021,MILCO,3.4856,3.4856,0.12149,1,0,0
0028_2010,2010,,,,,0,0,1
0028_2015,2015,NOMBO,7.4219,2.5391,0.18845,1,2,0
0028_2015,2015,NOMBO,10.8398,4.1992,0.45519,1,2,0
0028_2015,2015,MILCO,6.0547,3.2227,0.19512,1,2,0
0028_2017,2017,,,,,0,0,1
0028_2018,2018,,,,,0,0,1
0028_2021,2021,MILCO,5.4087,2.524,0.13652,1,0,0
0029_2010,2010,,,,,0,0,1
0029_2015,2015,MILCO,6.0096,3.2452,0.19502,3,0,0
0029_2015,2015,MILCO,3.2452,3.2452,0.10531,3,0,0
0029_2015,2015,MILCO,5.0481,2.4038,0.12135,3,0,0
0029_2017,2017,,,,,0,0,1
0029_2018,2018,,,,,0,0,1
0029_2021,2021,,,,,0,0,1
0030_2010,2010,,,,,0,0,1
0030_2015,2015,MILCO,6.0547,3.2227,0.19512,3,0,0
0030_2015,2015,MILCO,3.2227,3.2227,0.10386,3,0,0
0030_2015,2015,MILCO,5.0781,2.4414,0.12398,3,0,0
0030_2017,2017,,,,,0,0,1
0030_2018,2018,,,,,0,0,1
0030_2021,2021,,,,,0,0,1
0031_2010,2010,,,,,0,0,1
0031_2015,2015,MILCO,5.3711,3.418,0.18358,1,0,0
0031_2017,2017,,,,,0,0,1
0031_2018,2018,,,,,0,0,1
0031_2021,2021,MILCO,5.1683,3.0048,0.1553,1,0,0
0032_2010,2010,,,,,0,0,1
0032_2015,2015,NOMBO,4.1016,2.7344,0.11215,2,1,0
0032_2015,2015,MILCO,2.7344,1.8555,0.05074,2,1,0
0032_2015,2015,MILCO,2.832,2.4414,0.06914,2,1,0
0032_2017,2017,,,,,0,0,1
0032_2018,2018,,,,,0,0,1
0032_2021,2021,MILCO,4.0865,3.0048,0.12279,2,0,0
0032_2021,2021,MILCO,3.9663,2.6442,0.10488,2,0,0
0033_2010,2010,,,,,0,0,1
0033_2015,2015,NOMBO,4.0865,2.7644,0.11297,2,1,0
0033_2015,2015,MILCO,2.7644,1.8029,0.04984,2,1,0
0033_2015,2015,MILCO,2.8846,2.4038,0.06934,2,1,0
0033_2017,2017,,,,,0,0,1
0033_2018,2018,,,,,0,0,1
0033_2021,2021,,,,,0,0,1
0034_2010,2010,,,,,0,0,1
0034_2015,2015,MILCO,8.9844,1.8555,0.1667,2,0,0
0034_2015,2015,MILCO,11.6211,2.9297,0.34046,2,0,0
0034_2017,2017,,,,,0,0,1
0034_2018,2018,,,,,0,0,1
0034_2021,2021,MILCO,3.9663,4.5673,0.18116,2,0,0
0034_2021,2021,MILCO,5.8894,3.0048,0.17697,2,0,0
0035_2010,2010,,,,,0,0,1
0035_2015,2015,MILCO,9.0144,1.8029,0.16252,2,0,0
0035_2015,2015,MILCO,11.6587,2.8846,0.33631,2,0,0
0035_2017,2017,,,,,0,0,1
0035_2018,2018,,,,,0,0,1
0035_2021,2021,MILCO,3.726,2.1635,0.08061,3,0,0
0035_2021,2021,MILCO,4.2067,2.524,0.10618,3,0,0
0035_2021,2021,MILCO,5.8894,5.2885,0.31146,3,0,0
0036_2010,2010,,,,,0,0,1
0036_2015,2015,MILCO,4.4471,3.3654,0.14966,1,0,0
0036_2017,2017,,,,,0,0,1
0036_2018,2018,MILCO,4.4922,3.418,0.15354,1,0,0
0036_2021,2021,,,,,0,0,1
0037_2010,2010,,,,,0,0,1
0037_2015,2015,MILCO,4.4922,3.418,0.15354,1,0,0
0037_2017,2017,,,,,0,0,1
0037_2018,2018,MILCO,4.4471,3.3654,0.14966,1,0,0
0037_2021,2021,MILCO,4.4471,3.8462,0.17104,4,0,0
0037_2021,2021,MILCO,2.1635,3.3654,0.07281,4,0,0
0037_2021,2021,MILCO,3.3654,3.4856,0.1173,4,0,0
0037_2021,2021,MILCO,7.8125,4.4471,0.34743,4,0,0
0038_2010,2010,,,,,0,0,1
0038_2015,2015,MILCO,2.9297,2.9297,0.08583,4,1,0
0038_2015,2015,NOMBO,5.8594,3.6133,0.21172,4,1,0
0038_2015,2015,MILCO,2.0508,1.8555,0.03805,4,1,0
0038_2015,2015,MILCO,1.8555,2.5391,0.04711,4,1,0
0038_2015,2015,MILCO,6.543,2.2461,0.14696,4,1,0
0038_2017,2017,MILCO,2.8846,1.5625,0.04507,2,0,0
0038_2017,2017,MILCO,2.524,2.0433,0.05157,2,0,0
0038_2018,2018,,,,,0,0,1
0038_2021,2021,,,,,0,0,1
0039_2010,2010,,,,,0,0,1
0039_2015,2015,MILCO,2.8846,2.8846,0.08321,4,1,0
0039_2015,2015,NOMBO,8.6538,6.4904,0.56167,4,1,0
0039_2015,2015,MILCO,1.8029,2.524,0.04551,4,1,0
0039_2015,2015,MILCO,7.2115,1.8029,0.13002,4,1,0
0039_2015,2015,MILCO,6.4904,2.2837,0.14822,4,1,0
0039_2017,2017,MILCO,2.9297,1.5625,0.04578,2,0,0
0039_2017,2017,MILCO,2.5391,2.0508,0.05207,2,0,0
0039_2018,2018,,,,,0,0,1
0039_2021,2021,,,,,0,0,1
0040_2010,2010,,,,,0,0,1
0040_2015,2015,MILCO,2.9297,2.9297,0.08583,4,1,0
0040_2015,2015,NOMBO,8.6914,6.4453,0.56019,4,1,0
0040_2015,2015,MILCO,1.8555,2.5391,0.04711,4,1,0
0040_2015,2015,MILCO,7.2266,1.7578,0.12703,4,1,0
0040_2015,2015,MILCO,6.543,2.2461,0.14696,4,1,0
0040_2017,2017,MILCO,2.9297,1.5625,0.04578,2,0,0
0040_2017,2017,MILCO,2.0508,1.5625,0.03204,2,0,0
0040_2018,2018,,,,,0,0,1
0040_2021,2021,MILCO,0.1202,0.2404,0.00029,2,0,0
0040_2021,2021,MILCO,4.4471,3.3654,0.14966,2,0,0
0041_2010,2010,,,,,0,0,1
0041_2015,2015,MILCO,8.9844,2.5391,0.22812,1,0,0
0041_2017,2017,MILCO,2.7644,1.6827,0.04652,1,0,0
0041_2018,2018,,,,,0,0,1
0041_2021,2021,MILCO,4.6875,3.3654,0.15775,1,0,0
0042_2010,2010,,,,,0,0,1
0042_2015,2015,MILCO,9.0144,2.524,0.22753,1,0,0
0042_2017,2017,MILCO,2.7344,1.6602,0.04539,1,0,0
0042_2018,2018,,,,,0,0,1
0042_2021,2021,,,,,0,0,1
0043_2010,2010,,,,,0,0,1
0043_2015,2015,MILCO,8.774,2.4038,0.21091,2,0,0
0043_2015,2015,MILCO,9.8558,4.5673,0.45014,2,0,0
0043_2017,2017,,,,,0,0,1
0043_2018,2018,,,,,0,0,1
0043_2021,2021,,,,,0,0,1
0044_2010,2010,,,,,0,0,1
0044_2015,2015,MILCO,8.7891,2.3438,0.20599,2,0,0
0044_2015,2015,MILCO,9.8633,4.5898,0.45271,2,0,0
0044_2017,2017,,,,,0,0,1
0044_2018,2018,,,,,0,0,1
0044_2021,2021,,,,,0,0,1
0045_2010,2010,,,,,0,0,1
0045_2015,2015,MILCO,3.125,2.4038,0.07512,1,0,0
0045_2017,2017,,,,,0,0,1
0045_2018,2018,,,,,0,0,1
0045_2021,2021,,,,,0,0,1
0046_2010,2010,,,,,0,0,1
0046_2015,2015,MILCO,3.125,2.3438,0.07324,1,0,0
0046_2017,2017,,,,,0,0,1
0046_2018,2018,,,,,0,0,1
0046_2021,2021,,,,,0,0,1
0047_2010,2010,,,,,0,0,1
0047_2015,2015,MILCO,2.0508,2.3438,0.04807,1,0,0
0047_2017,2017,,,,,0,0,1
0047_2018,2018,,,,,0,0,1
0047_2021,2021,,,,,0,0,1
0048_2010,2010,,,,,0,0,1
0048_2015,2015,MILCO,5.2885,3.9663,0.20976,2,5,0
0048_2015,2015,NOMBO,20.6731,6.9712,1.44115,2,5,0
0048_2015,2015,NOMBO,12.3798,3.3654,0.41663,2,5,0
0048_2015,2015,NOMBO,7.4519,3.125,0.23287,2,5,0
0048_2015,2015,MILCO,5.5288,3.125,0.17278,2,5,0
0048_2015,2015,NOMBO,13.2212,2.8846,0.38138,2,5,0
0048_2015,2015,NOMBO,5.5288,2.524,0.13955,2,5,0
0048_2017,2017,,,,,0,0,1
0048_2018,2018,NOMBO,5.7617,4.0039,0.23069,0,1,0
0048_2021,2021,,,,,0,0,1
0049_2010,2010,,,,,0,0,1
0049_2015,2015,MILCO,5.1758,4.1016,0.21229,2,5,0
0049_2015,2015,NOMBO,20.7031,7.0312,1.45569,2,5,0
0049_2015,2015,NOMBO,12.4023,3.418,0.42391,2,5,0
0049_2015,2015,NOMBO,7.4219,3.125,0.23193,2,5,0
0049_2015,2015,MILCO,5.4688,3.125,0.1709,2,5,0
0049_2015,2015,NOMBO,13.2812,2.832,0.37613,2,5,0
0049_2015,2015,NOMBO,5.4688,2.5391,0.13885,2,5,0
0049_2017,2017,,,,,0,0,1
0049_2018,2018,,,,,0,0,1
0050_2010,2010,,,,,0,0,1
0050_2015,2015,MILCO,5.7617,3.3203,0.19131,4,3,0
0050_2015,2015,NOMBO,7.5195,6.25,0.46997,4,3,0
0050_2015,2015,MILCO,5.7617,2.5391,0.14629,4,3,0
0050_2015,2015,MILCO,4.5898,3.5156,0.16136,4,3,0
0050_2015,2015,NOMBO,4.9805,3.3203,0.16537,4,3,0
0050_2015,2015,NOMBO,9.8633,2.1484,0.21191,4,3,0
0050_2015,2015,MILCO,3.0273,2.2461,0.068,4,3,0
0050_2017,2017,,,,,0,0,1
0050_2018,2018,,,,,0,0,1
0051_2010,2010,,,,,0,0,1
0051_2015,2015,NOMBO,9.8633,2.1484,0.21191,6,2,0
0051_2015,2015,NOMBO,8.0078,6.543,0.52395,6,2,0
0051_2015,2015,MILCO,4.4922,1.7578,0.07896,6,2,0
0051_2015,2015,MILCO,8.8867,2.3438,0.20828,6,2,0
0051_2015,2015,MILCO,8.8867,2.3438,0.20828,6,2,0
0051_2015,2015,MILCO,6.9336,2.6367,0.18282,6,2,0
0051_2015,2015,MILCO,10.4492,2.1484,0.22449,6,2,0
0051_2015,2015,MILCO,5.6641,2.9297,0.16594,6,2,0
0051_2017,2017,,,,,0,0,1
0051_2018,2018,,,,,0,0,1
0052_2010,2010,,,,,0,0,1
0052_2015,2015,MILCO,4.4922,3.5156,0.15793,1,0,0
0052_2017,2017,,,,,0,0,1
0052_2018,2018,,,,,0,0,1
0053_2010,2010,,,,,0,0,1
0053_2015,2015,MILCO,4.4922,3.5156,0.15793,2,0,0
0053_2015,2015,MILCO,10.0586,2.7344,0.27504,2,0,0
0053_2017,2017,,,,,0,0,1
0053_2018,2018,,,,,0,0,1
0054_2010,2010,,,,,0,0,1
0054_2015,2015,NOMBO,11.9141,7.0312,0.83771,0,1,0
0054_2017,2017,,,,,0,0,1
0054_2018,2018,,,,,0,0,1
0055_2010,2010,,,,,0,0,1
0055_2015,2015,NOMBO,4.2969,2.9297,0.12589,5,8,0
0055_2015,2015,NOMBO,5.4688,3.418,0.18692,5,8,0
0055_2015,2015,NOMBO,3.8086,4.0039,0.15249,5,8,0
0055_2015,2015,NOMBO,3.5156,2.9297,0.103,5,8,0
0055_2015,2015,MILCO,4.6875,1.7578,0.0824,5,8,0
0055_2015,2015,NOMBO,5.6641,4.4922,0.25444,5,8,0
0055_2015,2015,NOMBO,9.668,5.0781,0.49095,5,8,0
0055_2015,2015,MILCO,5.3711,2.3438,0.12589,5,8,0
0055_2015,2015,MILCO,5.4688,2.7344,0.14954,5,8,0
0055_2015,2015,MILCO,5.6641,2.7344,0.15488,5,8,0
0055_2015,2015,NOMBO,4.4922,3.9062,0.17548,5,8,0
0055_2015,2015,MILCO,3.8086,1.5625,0.05951,5,8,0
0055_2015,2015,NOMBO,4.4922,3.6133,0.16232,5,8,0
0055_2017,2017,,,,,0,0,1
0055_2018,2018,,,,,0,0,1
0056_2010,2010,,,,,0,0,1
0056_2015,2015,NOMBO,4.4922,2.7344,0.12283,3,6,0
0056_2015,2015,NOMBO,3.0273,3.2227,0.09756,3,6,0
0056_2015,2015,NOMBO,4.9805,3.2227,0.1605,3,6,0
0056_2015,2015,NOMBO,4.4922,2.3438,0.10529,3,6,0
0056_2015,2015,MILCO,6.9336,3.5156,0.24376,3,6,0
0056_2015,2015,MILCO,3.8086,1.5625,0.05951,3,6,0
0056_2015,2015,NOMBO,12.793,12.6953,1.62411,3,6,0
0056_2015,2015,NOMBO,4.9805,3.7109,0.18482,3,6,0
0056_2015,2015,MILCO,4.7852,4.4922,0.21496,3,6,0
0056_2017,2017,,,,,0,0,1
0056_2018,2018,,,,,0,0,1
0057_2010,2010,,,,,0,0,1
0057_2015,2015,NOMBO,4.4471,2.7644,0.12294,3,6,0
0057_2015,2015,NOMBO,3.0048,3.2452,0.09751,3,6,0
0057_2015,2015,NOMBO,4.9279,3.2452,0.15992,3,6,0
0057_2015,2015,NOMBO,4.4471,2.4038,0.1069,3,6,0
0057_2015,2015,MILCO,6.9712,3.4856,0.24298,3,6,0
0057_2015,2015,MILCO,3.8462,1.5625,0.0601,3,6,0
0057_2015,2015,NOMBO,12.7404,12.7404,1.62317,3,6,0
0057_2015,2015,NOMBO,4.9279,3.726,0.18361,3,6,0
0057_2015,2015,MILCO,4.8077,4.4471,0.2138,3,6,0
0057_2017,2017,,,,,0,0,1
0057_2018,2018,,,,,0,0,1
0058_2010,2010,,,,,0,0,1
0058_2015,2015,MILCO,4.8077,4.4471,0.2138,5,3,0
0058_2015,2015,MILCO,3.4856,3.2452,0.11311,5,3,0
0058_2015,2015,NOMBO,14.3029,7.5721,1.08303,5,3,0
0058_2015,2015,MILCO,2.6442,3.0048,0.07945,5,3,0
0058_2015,2015,MILCO,3.2452,2.1635,0.07021,5,3,0
0058_2015,2015,NOMBO,5.0481,2.0433,0.10315,5,3,0
0058_2015,2015,MILCO,2.524,2.1635,0.05461,5,3,0
0058_2015,2015,NOMBO,9.0144,4.6875,0.42255,5,3,0
0058_2017,2017,,,,,0,0,1
0058_2018,2018,,,,,0,0,1
0059_2010,2010,,,,,0,0,1
